video_id,publish_date,views,likes,dislikes,comments_disabled,ratings_disabled
id3782,2017-09-15T16:28:32.000Z,2587,5,1,FALSE,FALSE
id3681,2017-12-28T01:50:19.000Z,2954,5,3,FALSE,FALSE
id3681,2017-12-28T01:50:19.000Z,3079,5,3,FALSE,FALSE
id2747,2017-10-21T15:12:53.000Z,1118,6,0,FALSE,FALSE
id5296,,3748,6,0,FALSE,FALSE
id5475,2016-12-28T05:34:48.000Z,1543,6,0,FALSE,FALSE
id3866,2017-11-13T14:39:03.000Z,4387,6,0,FALSE,FALSE
id5475,2016-12-28T05:34:48.000Z,1590,6,0,FALSE,FALSE
id3866,2017-11-13T14:39:03.000Z,4985,6,0,FALSE,FALSE
id5475,2016-12-28T05:34:48.000Z,1634,6,0,FALSE,FALSE
,2017-11-30T11:40:37.000Z,2975,6,39,TRUE,FALSE
id3205,2017-12-08T02:59:17.000Z,2785,6,3,FALSE,FALSE
id2613,2017-12-06T00:56:56.000Z,1415,6,0,FALSE,FALSE
id2613,2017-12-06T00:56:56.000Z,1652,6,0,FALSE,FALSE
id2613,2017-12-06T00:56:56.000Z,1811,6,0,FALSE,FALSE
id2380,2017-12-19T10:18:49.000Z,1495,6,1,FALSE,FALSE
id2380,2017-12-19T10:18:49.000Z,1550,6,1,FALSE,FALSE
id2380,2017-12-19T10:18:49.000Z,1593,6,1,FALSE,FALSE
id3782,2017-09-15T16:28:32.000Z,2681,6,1,FALSE,FALSE
id3782,2017-09-15T16:28:32.000Z,2721,6,1,FALSE,FALSE
id3915,2017-12-22T15:37:49.000Z,1807,6,3,FALSE,FALSE
id763,2018-01-12T22:44:25.000Z,3046,6,3,FALSE,FALSE
id633,2018-01-14T17:54:38.000Z,2101,6,0,FALSE,FALSE
id1180,2017-12-09T19:47:45.000Z,7325,6,6,FALSE,FALSE
id2450,2017-11-13T15:11:00.000Z,945,7,5,FALSE,FALSE
id5895,2017-11-15T17:29:26.000Z,10838,7,42,FALSE,FALSE
id2747,2017-10-21T15:12:53.000Z,1204,7,0,FALSE,FALSE
id1682,2017-11-16T15:02:36.000Z,13659,7,2,FALSE,FALSE
id5475,2016-12-28T05:34:48.000Z,1689,7,0,FALSE,FALSE
id2496,2017-11-30T11:40:37.000Z,3052,7,39,TRUE,FALSE
id3205,2017-12-08T02:59:17.000Z,3033,7,3,FALSE,FALSE
id5494,2017-12-04T14:43:58.000Z,1573,7,1,FALSE,FALSE
id5494,2017-12-04T14:43:58.000Z,1638,7,1,FALSE,FALSE
id5900,2018-01-10T14:41:44.000Z,6982,7,1,FALSE,FALSE
id5900,,7590,7,1,FALSE,FALSE
