video_id,publish_date,views,likes,dislikes,comments_disabled
id139,2018-01-15,13332,37,14,True
id5121,2018-01-28,3788,37,1,False
id5565,2017-11-07,5584,38,2,False
id4880,2017-11-28,349383,38,2,False
id4880,2017-11-28,349743,38,2,False
id1211,2017-12-13,1087,38,12,False
id3689,2017-12-29,4892,38,2,False
id3968,2018-01-06,8004,38,15,False
id139,2018-01-15,13458,38,14,True
id970,2018-02-05,8300,38,22,False
id5422,2017-11-13,59466,39,14,False
id5422,2017-11-13,64932,39,14,False
id105,2017-12-05,10393,39,27,False
id404,2017-12-11,1817,39,43,False
id1211,2017-12-13,1098,39,12,False
id1211,2017-12-13,1106,39,12,False
id190,2017-12-20,9561,39,24,False
id4054,2017-12-20,2968,39,3,False
id4054,2017-12-20,3037,39,3,False
id4054,2017-12-20,3085,39,3,False
id219,2017-12-29,22795,39,4,False
id4485,2013-07-07,10559,39,4,False
id662,2018-01-16,9573,39,16,False
id662,2018-01-16,10130,39,17,False
id1825,2013-05-24,11812,39,3,False
id3939,2017-10-13,12609,40,79,False
id5422,2017-11-13,67471,40,15,False
id3865,2017-11-16,4759,40,2,False
id2725,2017-11-30,3724,40,1,False
id4468,2017-12-06,14929,40,13,False
id2890,2013-05-28,12850,40,1,False
id1825,2013-05-24,11630,40,3,False
id2561,2018-01-17,48811,40,13,False
id4468,2017-12-06,15564,41,13,False
id4468,2017-12-06,16113,41,14,False
id4468,2017-12-06,16590,41,14,False
id190,2017-12-20,9802,41,24,False
id190,2017-12-20,9934,41,24,False
id190,2017-12-20,9977,41,25,False
id190,2017-12-20,10003,41,25,False
id190,2017-12-20,10039,41,25,False
id190,2017-12-20,10070,41,25,False
id2890,2013-05-28,13161,41,1,False
id2890,2013-05-28,13398,41,1,False
id1824,2018-01-12,2479,41,9,False
id1824,2018-01-12,2758,41,9,False
id662,2018-01-16,10558,41,17,False
id877,2018-01-18,1769,41,5,False
id662,2018-01-16,10836,41,17,False
id3865,2017-11-16,5218,42,2,False
id2128,2017-11-22,2078,42,5,False
id1223,2017-11-19,8219,42,1,False
id3689,2017-12-29,6091,42,2,False
id2890,2013-05-28,13630,42,1,False
id2890,2013-05-28,13701,42,1,False
id1824,2018-01-12,2647,42,9,False
id3233,2018-01-20,3645,42,4,False
id4051,2017-12-18,14376,43,55,True
id4485,2013-07-07,10882,43,3,False
id4443,2018-01-11,2093,43,2,False
id2933,2018-01-11,21700,43,19,False
id3437,2017-11-20,4524,44,7,False
id2725,2017-11-30,4484,44,1,False
id3233,2018-01-20,3837,44,6,False
id2128,2017-11-22,2318,45,5,False
id1223,2017-11-19,8637,45,2,False
id2725,2017-11-30,4688,45,1,False
id3796,2017-12-22,15672,45,7,False
id2893,2017-12-05,10386,45,25,False
id877,2018-01-18,1985,45,5,False
id877,2018-01-18,2084,45,5,False
id3658,2018-01-22,9086,45,91,False
id3233,2018-01-20,3996,45,6,False
id2953,2018-01-29,798,45,4,False
id2725,2017-11-30,4874,46,1,False
id2725,2017-11-30,4964,46,1,False
id2725,2017-11-30,5019,46,1,False
id5970,2017-12-12,6925,46,8,False
id487,2017-12-18,5443,46,26,False
id3127,2008-04-05,49942,46,6,False
id3127,2008-04-05,50030,46,6,False
id3127,2008-04-05,50117,46,6,False
id3539,2018-01-06,34133,46,10,False
id3127,2008-04-05,50168,46,6,False
id3511,2018-01-16,4442,46,3,False
id3658,2018-01-22,9382,46,92,False
id6190,2018-01-22,8394,46,9,False
id3658,2018-01-22,9529,46,92,False
id3658,2018-01-22,9568,46,92,False
id3658,2018-01-22,9595,46,92,False
id3619,2017-11-13,3653,47,3,False
id3865,2017-11-16,5963,47,2,False
id3813,2016-11-10,17164,47,1,False
id3813,2016-11-10,17322,47,1,False
id3813,2016-11-10,17466,47,1,False
id3619,2017-11-13,3839,48,3,False
